,State,Year,Month,Day,Total_Cases,Total_Deaths,Total_Positives,Total_Negatives,Vaccine_Dist,Vaccine_Admin,Vaccine_Int,Vaccine_Complete,Add_Dose
305,AK,2020,12,31,46740.0,198.0,84167.0,1321410.0,54975.0,14550.0,0.0,0.0,0.0
306,AK,2021,1,1,46740.0,198.0,84423.0,1326155.0,54975.0,16504.0,0.0,0.0,0.0
307,AK,2021,1,2,47549.0,207.0,84687.0,1330315.0,54975.0,18401.0,0.0,0.0,0.0
308,AK,2021,1,3,47846.0,207.0,85010.0,1336011.0,54975.0,18684.0,0.0,0.0,0.0
309,AK,2021,1,4,48110.0,209.0,85457.0,1342939.0,75475.0,18937.0,0.0,0.0,0.0
310,AK,2021,1,5,48302.0,209.0,86002.0,1353626.0,81550.0,19050.0,0.0,0.0,0.0
311,AK,2021,1,6,48636.0,211.0,86529.0,1364448.0,82725.0,20106.0,0.0,0.0,0.0
312,AK,2021,1,7,48961.0,214.0,86949.0,1373224.0,86625.0,21830.0,0.0,0.0,0.0
313,AK,2021,1,8,49366.0,214.0,87414.0,1383437.0,92775.0,24562.0,0.0,0.0,0.0
314,AK,2021,1,9,49681.0,215.0,87769.0,1389973.0,92875.0,28539.0,0.0,0.0,0.0
315,AK,2021,1,10,49935.0,215.0,88002.0,1394873.0,92875.0,33263.0,0.0,0.0,0.0
316,AK,2021,1,11,50111.0,215.0,88396.0,1402590.0,124250.0,35027.0,0.0,0.0,0.0
317,AK,2021,1,12,50243.0,216.0,88757.0,1411863.0,137900.0,35838.0,0.0,0.0,0.0
318,AK,2021,1,13,50526.0,217.0,89202.0,1422978.0,140075.0,38680.0,0.0,0.0,0.0
319,AK,2021,1,14,50861.0,219.0,89541.0,1431817.0,147975.0,42596.0,0.0,0.0,0.0
320,AK,2021,1,15,51163.0,220.0,89966.0,1439948.0,149650.0,49039.0,0.0,0.0,0.0
321,AK,2021,1,16,51347.0,220.0,90167.0,1445749.0,149650.0,54193.0,0.0,0.0,0.0
322,AK,2021,1,17,51630.0,220.0,90412.0,1450915.0,149650.0,60438.0,0.0,0.0,0.0
323,AK,2021,1,18,51785.0,220.0,90646.0,1455866.0,149650.0,64730.0,0.0,0.0,0.0
324,AK,2021,1,19,51914.0,221.0,91044.0,1463966.0,152625.0,66331.0,0.0,0.0,0.0
325,AK,2021,1,20,52081.0,244.0,91320.0,1472755.0,150350.0,68293.0,0.0,0.0,0.0
326,AK,2021,1,21,52282.0,245.0,91607.0,1480652.0,154325.0,71907.0,0.0,0.0,0.0
327,AK,2021,1,22,52572.0,245.0,91868.0,1488330.0,155500.0,81096.0,0.0,0.0,0.0
328,AK,2021,1,23,52820.0,250.0,92054.0,1493794.0,155700.0,88344.0,0.0,0.0,0.0
329,AK,2021,1,24,52982.0,250.0,92170.0,1497261.0,155700.0,94257.0,0.0,0.0,0.0
330,AK,2021,1,25,53061.0,250.0,92345.0,1502632.0,155700.0,97031.0,0.0,0.0,0.0
331,AK,2021,1,26,53143.0,251.0,92593.0,1511557.0,162925.0,98149.0,0.0,0.0,0.0
332,AK,2021,1,27,53322.0,252.0,92827.0,1521232.0,170575.0,101597.0,0.0,0.0,0.0
333,AK,2021,1,28,53524.0,253.0,93106.0,1529200.0,178075.0,105858.0,0.0,0.0,0.0
334,AK,2021,1,29,53705.0,253.0,93311.0,1536450.0,192350.0,110396.0,0.0,0.0,0.0
335,AK,2021,1,30,53851.0,253.0,93549.0,1542461.0,193150.0,115268.0,0.0,0.0,0.0
336,AK,2021,1,31,53985.0,253.0,93699.0,1547506.0,193150.0,119590.0,0.0,0.0,0.0
337,AK,2021,2,1,54091.0,253.0,93958.0,1554572.0,193150.0,122020.0,0.0,0.0,0.0
338,AK,2021,2,2,54223.0,269.0,94219.0,1565179.0,196975.0,123443.0,0.0,0.0,0.0
339,AK,2021,2,3,54447.0,269.0,94536.0,1574440.0,229975.0,125765.0,0.0,0.0,0.0
340,AK,2021,2,4,54631.0,269.0,94873.0,1584340.0,240325.0,129936.0,0.0,0.0,0.0
341,AK,2021,2,5,54880.0,269.0,95108.0,1593278.0,245700.0,134002.0,0.0,0.0,0.0
342,AK,2021,2,6,54880.0,269.0,95290.0,1598364.0,248500.0,139147.0,0.0,0.0,0.0
343,AK,2021,2,7,54880.0,269.0,95435.0,1602779.0,248500.0,146082.0,0.0,0.0,0.0
344,AK,2021,2,8,55374.0,269.0,95621.0,1609191.0,248500.0,150934.0,0.0,0.0,0.0
345,AK,2021,2,9,55500.0,269.0,95858.0,1618323.0,256900.0,152874.0,0.0,0.0,0.0
346,AK,2021,2,10,55701.0,269.0,96044.0,1626999.0,260300.0,156255.0,0.0,0.0,0.0
347,AK,2021,2,11,55850.0,269.0,96274.0,1635651.0,270250.0,162273.0,0.0,0.0,0.0
348,AK,2021,2,12,56008.0,271.0,96444.0,1642369.0,271350.0,167436.0,0.0,0.0,0.0
349,AK,2021,2,13,56008.0,271.0,96560.0,1647001.0,271550.0,175138.0,122518.0,0.0,0.0
350,AK,2021,2,14,56008.0,271.0,96650.0,1650728.0,271550.0,183831.0,126444.0,0.0,0.0
351,AK,2021,2,15,56008.0,271.0,96798.0,1655654.0,271550.0,189268.0,128412.0,0.0,0.0
352,AK,2021,2,16,56504.0,276.0,97022.0,1663798.0,271550.0,191008.0,129734.0,0.0,0.0
353,AK,2021,2,17,56559.0,277.0,97208.0,1671576.0,271550.0,193617.0,130830.0,0.0,0.0
354,AK,2021,2,18,56768.0,277.0,97389.0,1679261.0,271550.0,199151.0,133578.0,0.0,0.0
355,AK,2021,2,19,56979.0,278.0,97541.0,1685568.0,299935.0,216223.0,144083.0,0.0,0.0
356,AK,2021,2,20,56979.0,278.0,97676.0,1690382.0,299935.0,227403.0,148497.0,0.0,0.0
357,AK,2021,2,21,56979.0,278.0,97780.0,1694855.0,299935.0,235141.0,152555.0,0.0,0.0
358,AK,2021,2,22,57316.0,279.0,97923.0,1700956.0,299935.0,238279.0,153572.0,0.0,0.0
359,AK,2021,2,23,57371.0,279.0,98107.0,1708903.0,304875.0,239927.0,154618.0,0.0,0.0
360,AK,2021,2,24,57550.0,279.0,98348.0,1716817.0,315765.0,243650.0,156267.0,0.0,0.0
361,AK,2021,2,25,57735.0,279.0,98504.0,1725099.0,319265.0,249559.0,158792.0,0.0,0.0
362,AK,2021,2,26,57846.0,279.0,98667.0,1731767.0,332415.0,254334.0,161595.0,0.0,0.0
363,AK,2021,2,27,57846.0,279.0,98792.0,1736800.0,342535.0,259538.0,163739.0,0.0,0.0
364,AK,2021,2,28,57846.0,279.0,98919.0,1742031.0,342535.0,264741.0,166735.0,0.0,0.0
365,AK,2021,3,1,58229.0,289.0,99070.0,1749327.0,342535.0,268406.0,168069.0,0.0,0.0
366,AK,2021,3,2,58383.0,290.0,99284.0,1758171.0,372725.0,269941.0,168646.0,0.0,0.0
367,AK,2021,3,3,58574.0,291.0,99435.0,1765676.0,399225.0,273350.0,170586.0,0.0,0.0
368,AK,2021,3,4,58722.0,291.0,99609.0,1773820.0,409125.0,276891.0,172414.0,0.0,0.0
369,AK,2021,3,5,58870.0,292.0,99742.0,1781370.0,421375.0,281467.0,174588.0,106558.0,0.0
370,AK,2021,3,6,58870.0,292.0,99870.0,1786006.0,426715.0,288625.0,178237.0,110053.0,0.0
371,AK,2021,3,7,58870.0,292.0,99992.0,1790450.0,426715.0,295046.0,180948.0,113787.0,0.0
372,AK,2021,3,8,59210.0,291.0,100119.0,1795569.0,426715.0,298144.0,182230.0,115635.0,0.0
373,AK,2021,3,9,59299.0,291.0,100312.0,1803777.0,430685.0,302687.0,184906.0,117345.0,0.0
374,AK,2021,3,10,59451.0,291.0,100464.0,1811408.0,445125.0,307769.0,188281.0,119073.0,0.0
375,AK,2021,3,11,59689.0,291.0,100626.0,1819027.0,462875.0,313365.0,190712.0,122197.0,0.0
376,AK,2021,3,12,59796.0,292.0,100788.0,1826770.0,470325.0,318526.0,193951.0,124170.0,0.0
377,AK,2021,3,13,59796.0,292.0,100925.0,1831722.0,472395.0,324271.0,197436.0,126647.0,0.0
378,AK,2021,3,14,59796.0,292.0,101025.0,1836464.0,472395.0,333357.0,202410.0,130857.0,0.0
379,AK,2021,3,15,60174.0,292.0,101174.0,1843348.0,472395.0,337141.0,205256.0,132532.0,0.0
380,AK,2021,3,16,60277.0,292.0,101334.0,1849954.0,484795.0,339647.0,206403.0,133907.0,0.0
381,AK,2021,3,17,60451.0,293.0,101509.0,1857183.0,499625.0,345987.0,210932.0,135810.0,0.0
