,State,Year,Month,Day,Total_Cases,Total_Deaths,Total_Positives,Total_Negatives,Vaccine_Dist,Vaccine_Admin,Vaccine_Int,Vaccine_Complete,Add_Dose,Monthly Cases,Monthly Deaths,Monthly Positive,Monthly Negatives,Monthly Vaccine Completed
0,AK,2020,12,31,46740.0,198.0,84167.0,1321410.0,54975.0,14550.0,0.0,0.0,0.0,,,,,
1,AK,2021,1,31,53985.0,253.0,93699.0,1547506.0,193150.0,119590.0,0.0,0.0,0.0,7245.0,55.0,9532.0,226096.0,0.0
2,AK,2021,2,28,57846.0,279.0,98919.0,1742031.0,342535.0,264741.0,166735.0,0.0,0.0,3861.0,26.0,5220.0,194525.0,0.0
3,AK,2021,3,31,62559.0,299.0,104247.0,1954197.0,601225.0,407233.0,248711.0,163100.0,0.0,4713.0,20.0,5328.0,212166.0,163100.0
4,AK,2021,4,30,67598.0,330.0,109932.0,2152524.0,769205.0,552792.0,305395.0,256564.0,0.0,5039.0,31.0,5685.0,198327.0,93464.0
5,AK,2021,5,31,69627.0,352.0,112288.0,2299052.0,806335.0,612275.0,337795.0,287850.0,0.0,2029.0,22.0,2356.0,146528.0,31286.0
6,AK,2021,6,30,70669.0,360.0,112753.0,2350228.0,829945.0,658672.0,358311.0,313709.0,0.0,1042.0,8.0,465.0,51176.0,25859.0
7,AK,2021,7,31,74853.0,372.0,118678.0,2468703.0,854805.0,697440.0,376882.0,333092.0,0.0,4184.0,12.0,5925.0,118475.0,19383.0
8,AK,2021,8,31,87842.0,427.0,137274.0,2697080.0,933585.0,730407.0,396543.0,345364.0,0.0,12989.0,55.0,18596.0,228377.0,12272.0
9,AK,2021,9,30,113835.0,559.0,146327.0,2784766.0,1058945.0,792368.0,419056.0,370114.0,0.0,25993.0,132.0,9053.0,87686.0,24750.0
10,AK,2021,10,31,136975.0,707.0,151420.0,2833177.0,1155005.0,871621.0,434826.0,385131.0,53675.0,23140.0,148.0,5093.0,48411.0,15017.0
11,AK,2021,11,30,150004.0,856.0,153624.0,2871557.0,1272385.0,957508.0,459412.0,396688.0,104915.0,13029.0,149.0,2204.0,38380.0,11557.0
12,AK,2021,12,31,156130.0,954.0,154826.0,2895642.0,1320555.0,1026473.0,476117.0,412432.0,143539.0,6126.0,98.0,1202.0,24085.0,15744.0
13,AL,2020,12,31,358661.0,4827.0,404298.0,2860899.0,153025.0,26711.0,0.0,0.0,0.0,202531.0,3873.0,249472.0,-34743.0,-412432.0
14,AL,2021,1,31,457074.0,7688.0,481208.0,3233211.0,659400.0,353974.0,0.0,0.0,0.0,98413.0,2861.0,76910.0,372312.0,0.0
15,AL,2021,2,28,490687.0,9929.0,512881.0,3527012.0,1402280.0,942502.0,649745.0,0.0,0.0,33613.0,2241.0,31673.0,293801.0,0.0
16,AL,2021,3,31,512823.0,10554.0,526862.0,3758391.0,2796630.0,1728736.0,1155139.0,656899.0,0.0,22136.0,625.0,13981.0,231379.0,656899.0
17,AL,2021,4,30,525357.0,10896.0,538968.0,3940599.0,4088030.0,2591163.0,1589518.0,1143488.0,0.0,12534.0,342.0,12106.0,182208.0,486589.0
18,AL,2021,5,31,540840.0,11146.0,549316.0,4099006.0,4578590.0,3021902.0,1766534.0,1432946.0,0.0,15483.0,250.0,10348.0,158407.0,289458.0
19,AL,2021,6,30,548418.0,11352.0,555338.0,4214725.0,4813050.0,3350607.0,1954166.0,1594625.0,0.0,7578.0,206.0,6022.0,115719.0,161679.0
20,AL,2021,7,31,583042.0,11536.0,591558.0,4382785.0,5159890.0,3587175.0,2117044.0,1683584.0,0.0,34624.0,184.0,36220.0,168060.0,88959.0
21,AL,2021,8,31,697164.0,12283.0,699154.0,4731719.0,6127400.0,4136247.0,2442247.0,1880276.0,0.0,114122.0,747.0,107596.0,348934.0,196692.0
