,NAME,State,POP_2021
0,Alabama,AL,5039877
1,Alaska,AK,732673
2,Arizona,AZ,7276316
3,Arkansas,AR,3025891
4,California,CA,39237836
5,Colorado,CO,5812069
6,Connecticut,CT,3605597
7,Delaware,DC,1003384
8,District of Columbia,DE,670050
9,Florida,FL,21781128
10,Georgia,GA,10799566
11,Hawaii,HI,1441553
12,Idaho,ID,1900923
13,Illinois,IL,12671469
14,Indiana,IN,6805985
15,Iowa,IA,3193079
16,Kansas,KS,2934582
17,Kentucky,KY,4509394
18,Louisiana,LA,4624047
19,Maine,ME,1372247
20,Maryland,MD,6165129
21,Massachusetts,MA,6984723
22,Michigan,MI,10050811
23,Minnesota,MN,5707390
24,Mississippi,MS,2949965
25,Missouri,MO,6168187
26,Montana,MT,1104271
27,Nebraska,NE,1963692
28,Nevada,NV,3143991
29,New Hampshire,NH,1388992
30,New Jersey,NJ,9267130
31,New Mexico,NM,2115877
32,New York,NY,19835913
33,North Carolina,NC,10551162
34,North Dakota,ND,774948
35,Ohio,OH,11780017
36,Oklahoma,OK,3986639
37,Oregon,OR,4246155
38,Pennsylvania,PA,12964056
39,Puerto Rico,PR,3263584
40,Rhode Island,RI,1095610
41,South Carolina,SC,5190705
42,South Dakota,SD,895376
43,Tennessee,TN,6975218
44,Texas,TX,29527941
45,Utah,UT,3337975
46,Vermont,VT,645570
47,Virginia,VA,8642274
48,Washington,WA,7738692
49,West Virginia,WV,1782959
50,Wisconsin,WI,5895908
51,Wyoming,WY,578803
