,State,Year-Month,Population,Total_Cases,Total_Deaths,Total_Positives,Total_Negatives,Vaccine_Dist,Vaccine_Admin,Vaccine_Int,Vaccine_Complete,Add_Dose,Monthly Cases,Monthly Deaths,Monthly Positive,Monthly Negatives,Monthly Vaccine Initiated,Monthly Vaccine Completed,Monthly Additional Dose
1,AK,2021-1,732673,53985.0,253.0,93699.0,1547506.0,193150.0,119590.0,0.0,0.0,0.0,7245.0,55.0,9532.0,226096.0,0.0,0.0,0.0
2,AK,2021-2,732673,57846.0,279.0,98919.0,1742031.0,342535.0,264741.0,166735.0,0.0,0.0,3861.0,26.0,5220.0,194525.0,166735.0,0.0,0.0
3,AK,2021-3,732673,62559.0,299.0,104247.0,1954197.0,601225.0,407233.0,248711.0,163100.0,0.0,4713.0,20.0,5328.0,212166.0,81976.0,163100.0,0.0
4,AK,2021-4,732673,67598.0,330.0,109932.0,2152524.0,769205.0,552792.0,305395.0,256564.0,0.0,5039.0,31.0,5685.0,198327.0,56684.0,93464.0,0.0
5,AK,2021-5,732673,69627.0,352.0,112288.0,2299052.0,806335.0,612275.0,337795.0,287850.0,0.0,2029.0,22.0,2356.0,146528.0,32400.0,31286.0,0.0
6,AK,2021-6,732673,70669.0,360.0,112753.0,2350228.0,829945.0,658672.0,358311.0,313709.0,0.0,1042.0,8.0,465.0,51176.0,20516.0,25859.0,0.0
7,AK,2021-7,732673,74853.0,372.0,118678.0,2468703.0,854805.0,697440.0,376882.0,333092.0,0.0,4184.0,12.0,5925.0,118475.0,18571.0,19383.0,0.0
8,AK,2021-8,732673,87842.0,427.0,137274.0,2697080.0,933585.0,730407.0,396543.0,345364.0,0.0,12989.0,55.0,18596.0,228377.0,19661.0,12272.0,0.0
9,AK,2021-9,732673,113835.0,559.0,146327.0,2784766.0,1058945.0,792368.0,419056.0,370114.0,0.0,25993.0,132.0,9053.0,87686.0,22513.0,24750.0,0.0
10,AK,2021-10,732673,136975.0,707.0,151420.0,2833177.0,1155005.0,871621.0,434826.0,385131.0,53675.0,23140.0,148.0,5093.0,48411.0,15770.0,15017.0,53675.0
11,AK,2021-11,732673,150004.0,856.0,153624.0,2871557.0,1272385.0,957508.0,459412.0,396688.0,104915.0,13029.0,149.0,2204.0,38380.0,24586.0,11557.0,51240.0
12,AK,2021-12,732673,156130.0,954.0,154826.0,2895642.0,1320555.0,1026473.0,476117.0,412432.0,143539.0,6126.0,98.0,1202.0,24085.0,16705.0,15744.0,38624.0
14,AL,2021-1,5039877,457074.0,7688.0,481215.0,3233516.0,659400.0,353974.0,0.0,0.0,0.0,98413.0,2861.0,76912.0,372353.0,0.0,0.0,0.0
15,AL,2021-2,5039877,490687.0,9929.0,512888.0,3527348.0,1402280.0,942502.0,649745.0,0.0,0.0,33613.0,2241.0,31673.0,293832.0,649745.0,0.0,0.0
16,AL,2021-3,5039877,512823.0,10554.0,526869.0,3758746.0,2796630.0,1728736.0,1155139.0,656899.0,0.0,22136.0,625.0,13981.0,231398.0,505394.0,656899.0,0.0
17,AL,2021-4,5039877,525357.0,10896.0,538975.0,3940968.0,4088030.0,2591163.0,1589518.0,1143488.0,0.0,12534.0,342.0,12106.0,182222.0,434379.0,486589.0,0.0
18,AL,2021-5,5039877,540840.0,11146.0,549323.0,4099395.0,4578590.0,3021902.0,1766534.0,1432946.0,0.0,15483.0,250.0,10348.0,158427.0,177016.0,289458.0,0.0
19,AL,2021-6,5039877,548418.0,11352.0,555345.0,4215136.0,4813050.0,3350607.0,1954166.0,1594625.0,0.0,7578.0,206.0,6022.0,115741.0,187632.0,161679.0,0.0
20,AL,2021-7,5039877,583042.0,11536.0,591565.0,4383220.0,5159890.0,3587175.0,2117044.0,1683584.0,0.0,34624.0,184.0,36220.0,168084.0,162878.0,88959.0,0.0
21,AL,2021-8,5039877,697164.0,12283.0,699162.0,4732197.0,6127400.0,4136247.0,2442247.0,1880276.0,0.0,114122.0,747.0,107597.0,348977.0,325203.0,196692.0,0.0
